date,temp,flow,SRP,sun3d,sun,silicon,nitrate,chl,diatoms,p-chloro,n-chloro,totCyano,totCrypto,totPhyto
2013-10-28,13.6,64.83817933,218.0,3.033333333,2.7,5.93,27.98908739,4.45,206.8199945,9970.64764,1279.398105,500.2158006,206.8199945,12163.90154
2013-11-04,11.1,66.2387651,183.0,6.1,6.7,6.16,34.59858666,2.62,240.4883657,3588.086416,702.2260277,389.5911524,125.0539501,5045.445912
2013-11-11,9.0,71.22057146,151.0,2.166666667,0.0,5.84,34.14299177,3.67,235.6785983,3347.59805,678.1771912,418.4497562,254.9176676,4934.821263
2013-11-18,8.4,47.18624308,134.0,0.0,0.0,5.52,34.25341296,1.85,163.5320886,2005.67297,312.6348754,139.4832521,52.90744045,2674.230626
2013-11-25,6.9,44.8511232,138.0,0.733333333,0.0,5.48,31.70672716,1.66,177.9613906,1192.822294,226.0590637,76.95627701,67.33674239,1741.135767
2013-12-02,7.5,35.61033661,148.0,0.4,0.0,5.55,32.60189727,1.17,153.912554,1519.886471,259.7274349,129.8637175,168.341856,2231.732033
2013-12-09,7.2,34.93740734,147.0,2.5,4.2,5.75,32.73167781,1.21,110.6246482,1481.408332,341.4934792,48.09767313,33.66837119,2015.292504
2013-01-06,7.6,310.5494266,135.0,0.333333333,1.0,4.88,18.78118375,2.44,57.71720776,1818.092044,336.6837119,456.9278948,163.5320886,2832.952947
2014-01-13,5.8,323.5185781,115.0,4.166666667,5.2,5.13,23.80139237,1.38,62.52697507,1298.637175,240.4883657,177.9613906,96.19534626,1875.809252
2014-01-20,6.9,274.2387492,104.0,2.4,2.3,4.71,24.42838764,1.14,105.8148809,1322.686011,264.5372022,158.7223213,125.0539501,1976.814366
2014-01-27,6.7,224.7234721,100.0,1.033333333,2.7,4.31,24.97838657,2.52,331.8739446,1197.632061,379.9716177,317.4446427,115.4344155,2342.356682
2014-02-03,6.2,298.4695458,85.0,4.166666667,0.3,3.92,21.5237,3.01,519.4548698,1399.642288,384.7813851,437.6888255,187.5809252,2929.148294
2014-02-24,8.8,231.4512557,54.0,2.666666667,0.5,2.4,24.2077,7.13,1515.076704,2149.965989,764.7530028,327.0641773,120.2441828,4877.104056
2014-03-03,7.8,241.8713248,68.0,4.133333333,4.8,2.95,23.3818,7.91,952.333928,1909.477623,538.6939391,370.3520831,153.912554,3924.770128
2014-03-10,10.0,156.6299283,65.0,4.433333333,0.0,3.48,19.21068641,4.63,1115.866017,2212.492964,634.8892853,197.2004598,192.3906925,4352.839418
2014-03-24,9.4,97.29500745,62.0,7.466666667,7.3,3.91,28.66100022,14.21,3640.993856,4054.633845,2260.590637,303.0153407,134.6734848,10393.90716
2014-03-31,10.9,85.71660393,46.0,4.466666667,0.8,3.74,29.90993352,23.12,7334.895153,5223.407302,3910.340826,557.9330083,274.1567369,17300.73303
2014-04-07,12.6,75.5228167,59.0,0.333333333,0.0,4.28,28.57864853,26.34,6978.972371,5406.17846,5156.07056,663.7478892,216.4395291,18421.40881
2014-04-15,12.7,62.55379688,68.0,11.33333333,11.5,4.38,31.39614683,55.69,13582.78289,13101.80616,14443.73124,1159.153922,495.4060333,42782.88025
2014-04-22,12.3,86.4237565,44.0,2.4,1.4,3.88,28.83544997,97.42,24539.43283,12659.30757,23827.58727,1510.266936,1067.768344,63604.36295
2014-04-28,12.4,112.3309223,108.0,4.233333333,2.7,4.31,25.34252835,26.8,4521.181274,4655.854759,5281.12451,2174.014826,682.9869585,17315.16233
2014-05-06,14.4,67.65723944,109.0,7.933333333,8.8,5.34,24.58114973,24.93,4280.692909,9932.169502,9196.275103,1269.778571,375.1618504,25054.07793
2014-05-12,14.1,60.25376331,93.0,6.533333333,8.5,4.8,26.12245176,49.1,3626.564554,14395.63357,25626.44024,1341.92508,711.8455624,45702.40901
2014-05-19,17.2,45.41396435,11.0,11.7,11.5,3.55,25.61770481,145.88,43177.28117,22932.97055,55312.3241,2419.312959,3164.826892,127006.7157
2014-05-27,14.3,74.95483749,119.0,4.933333333,0.0,4.68,26.9440398,23.54,7647.530028,18152.06184,15828.94423,1673.799025,1058.148809,44360.48393
2014-06-02,15.9,67.84519785,140.0,5.066666667,1.3,5.78,27.88,14.92,2818.523646,10177.46763,8585.434654,1279.398105,307.825108,23168.64915
2014-06-10,18.3,44.28615509,106.0,10.4,13.8,5.56,26.53,49.4,7137.694693,41075.41285,29902.32339,2063.390177,1178.392992,81357.2141
2014-06-16,18.2,52.00271836,142.0,3.633333333,3.5,5.29,22.71427211,24.95,3905.531058,24077.69517,24775.11143,2438.552028,1264.968803,56461.85849
2014-06-23,20.1,33.80689377,153.0,8.833333333,6.9,5.88,24.48940307,19.35,2659.801324,99884.43779,43562.06256,7623.481191,2890.670155,156620.453
2014-06-30,18.8,38.07575517,155.0,5.933333333,7.1,5.86,25.24172422,5.56,1072.578111,77230.43375,12644.87827,12082.13549,1072.578111,104102.6037
2014-07-07,19.2,30.7438332,175.0,5.533333333,7.9,5.57,25.78076151,4.52,1428.500892,101284.0801,11177.89924,8595.054189,846.5190471,123332.0534
2014-07-14,19.6,22.11968538,150.0,6.533333333,8.8,5.62,25.71568815,7.44,687.7967258,160944.4338,13390.3922,11072.08436,1188.012526,187282.7196
2014-07-22,21.9,28.91504736,180.0,8.233333333,10.9,5.76,26.90739719,4.82,346.3032466,129551.0826,8441.141635,28863.41365,1702.657629,168904.5987
2014-07-28,21.7,23.53122453,190.0,7.366666667,5.1,5.83,26.80723102,4.8,490.5962659,186065.8485,7820.681651,97902.81366,2568.415745,294848.3558
2014-08-18,17.6,22.4685689,180.0,6.9,7.1,5.94,24.92991424,2.92,153.912554,137621.8721,10283.28252,35366.21905,990.8120665,184416.0983
2014-09-01,17.1,21.77605797,201.0,2.9,0.2,5.97,28.17509632,2.84,153.912554,90231.2348,9071.221153,12385.15083,798.421374,112639.9407
2014-09-08,17.7,18.08561209,194.0,5.2,8.0,6.1,31.17924558,4.62,192.3906925,91467.345,11105.75273,11471.29504,808.0409086,115044.8244
2014-09-15,17.0,16.88133462,199.0,4.2,6.0,6.21,32.2673318,4.15,182.7711579,80361.59227,6353.702621,10297.71182,1582.413446,98778.19131
2014-09-22,17.3,18.85233481,184.0,4.6,6.2,6.19,33.23525384,3.37,418.4497562,85123.26191,2808.904111,5959.301701,971.5729973,95281.49047
2014-09-29,16.5,15.86637261,186.0,2.733333333,0.7,6.3,33.1808339,4.81,423.2595236,85580.1898,2222.112499,5031.01661,1202.441828,94459.02026
2014-10-06,15.0,22.69824366,208.0,2.966666667,0.0,6.37,31.91164977,3.46,230.868831,74147.3729,2092.248781,4314.36128,759.9432355,81544.79503
2014-10-13,13.5,31.15825678,214.0,2.166666667,0.0,6.29,32.10050621,2.9,168.341856,60444.34583,2347.166449,2703.08923,485.7864986,66148.72986
2014-10-20,15.2,33.13706,244.0,3.9,3.2,6.13,28.83017496,2.62,168.341856,17916.38324,1789.233441,1471.788798,149.1027867,21494.85012
2014-10-27,15.3,24.97830941,211.0,3.4,7.5,6.53,30.36308127,2.23,120.2441828,15987.66655,1664.17949,918.6655568,115.4344155,18806.19019
2014-11-03,13.5,35.88495755,212.0,2.533333333,0.9,6.99,31.39108466,1.6,110.6246482,10456.43414,1019.67067,716.6553297,110.6246482,12414.00944
2014-11-10,10.8,45.94472615,183.0,2.933333333,3.2,6.26,29.71068427,4.5,163.5320886,5935.252865,957.1436953,1188.012526,91.38557895,8335.326754
2014-11-17,10.7,90.58470349,165.0,0.366666667,0.1,5.73,27.1652925,3.31,182.7711579,3126.348754,740.7041662,351.1130139,423.2595236,4824.196615
2014-11-25,9.2,106.8293023,205.0,1.1,0.0,5.85,29.430262,3.8,110.6246482,2544.366909,577.1720776,480.9767313,399.210687,4112.351053
2014-12-01,9.6,71.35604859,138.0,1.533333333,0.0,5.85,31.11636131,2.21,52.90744045,1664.17949,399.210687,312.6348754,48.09767313,2477.030166
2014-12-08,7.1,48.63722919,126.0,3.933333333,6.2,6.3,31.90841603,1.53,57.71720776,995.6218338,264.5372022,105.8148809,43.28790582,1466.979031
2014-12-15,7.2,64.7740576,141.0,2.333333333,1.3,5.66,28.20441337,0.94,81.76604432,1606.462283,394.4009197,254.9176676,202.0102272,2539.557141
2015-01-05,7.2,106.8428303,150.0,0.0,0.0,5.34,28.94360305,2.9,101.0051136,1125.485551,216.4395291,177.9613906,96.19534626,1717.086931
2015-01-12,8.5,90.00408312,132.0,1.333333333,0.0,5.03,29.57866058,2.39,96.19534626,1500.647402,312.6348754,269.3469695,110.6246482,2289.449241
2015-01-19,5.5,138.9737987,125.0,4.1,7.2,5.03,26.48411538,2.38,105.8148809,2303.878543,1024.480438,591.6013795,197.2004598,4222.975701
2015-01-26,6.6,85.87519027,112.0,3.5,1.0,5.16,32.12109576,1.13,67.33674239,1240.919967,221.2492964,76.95627701,43.28790582,1649.750188
2015-02-03,4.7,73.63023268,108.0,0.1,0.3,5.27,33.06540667,1.58,240.4883657,1385.212986,394.4009197,129.8637175,67.33674239,2217.302731
2015-02-09,5.8,55.95634816,108.0,3.833333333,4.7,5.49,33.61191984,1.39,327.0641773,1668.989258,173.1516233,91.38557895,43.28790582,2303.878543
2015-02-16,7.2,72.23087327,127.0,0.4,0.0,5.26,31.32662719,1.17,567.552543,2015.292504,471.3571967,240.4883657,153.912554,3448.603164
2015-02-24,7.3,105.6816736,115.0,4.433333333,8.0,4.89,29.19427411,2.98,995.6218338,1952.765529,745.5139335,485.7864986,115.4344155,4295.122211
2015-03-02,8.1,84.1939583,105.0,4.333333333,7.5,4.94,29.56911691,3.37,1414.07159,2048.960875,788.8018394,216.4395291,168.341856,4636.61569
2015-03-10,9.0,59.80380587,109.0,3.766666667,8.5,4.79,32.18890362,2.72,2082.629247,3487.081302,860.9483491,101.0051136,101.0051136,6632.669125
2015-03-16,8.9,52.57595302,97.0,1.366666667,0.0,4.46,33.45484174,2.63,1091.81718,4756.859873,889.8069529,72.1465097,158.7223213,6969.352837
2015-03-23,9.8,45.2669057,109.0,3.633333333,2.5,4.27,33.27593449,3.46,1264.968803,5338.841718,1139.914853,158.7223213,129.8637175,8032.311413
2015-03-30,10.4,47.61187106,105.0,1.966666667,4.5,3.57,32.51503243,8.24,2568.415745,8258.370477,2087.439014,211.6297618,245.298133,13371.15313
2015-04-07,12.4,40.98898888,100.0,7.4,10.0,5.37,29.19526392,37.61,12765.12245,6945.304,8210.272804,620.4599834,1390.022754,29931.18199
2015-04-13,13.9,35.74726657,32.0,6.233333333,2.5,5.34,28.84306871,101.29,42826.16816,6411.419829,21018.68316,1260.159036,2414.503191,73930.93337
2015-04-20,14.2,29.34324683,10.0,9.066666667,10.9,0.14,27.25594556,196.61,50680.51818,6122.83379,16988.09815,1640.130654,3285.071075,78716.65185
2015-04-27,15.3,32.26259137,6.0,5.466666667,10.2,0.02,27.47932246,170.94,54234.93622,3818.955247,10937.41087,928.2850915,2183.63436,72103.22179
2015-05-05,15.4,49.27933734,5.0,6.2,7.1,0.2,26.02280846,150.05,48294.87359,7710.057003,10990.31831,601.2209142,2544.366909,70140.83673
2015-05-11,16.1,23.06529558,10.0,5.6,8.4,0.7,23.76871475,124.23,54533.1418,5160.880327,9225.133707,1000.431601,2323.117612,72242.70504
2015-05-18,15.8,25.07529588,13.0,8.366666667,5.7,1.89,27.01609076,146.92,25563.91327,5064.684981,7070.35795,755.1334682,1755.565069,40209.65474
2015-05-26,17.2,21.46662524,14.0,4.566666667,6.9,1.7,24.36554554,138.5,82742.42709,5492.754272,9802.305784,1163.96369,1596.842748,100798.2936
2015-06-09,17.4,15.66375795,10.0,9.9,8.9,0.86,21.04753287,298.71,126766.2273,4771.289175,5069.494748,1005.241368,1269.778571,138882.0312
2015-06-15,17.7,18.04181892,14.0,4.8,11.0,2.38,22.381589,219.62,37886.53713,5757.291474,6536.473779,490.5962659,4348.029651,55018.9283
2015-06-22,18.7,17.9422105,115.0,4.6,7.2,4.95,25.90917189,29.84,7108.836089,11504.96341,8922.118366,514.6451025,4184.497562,32235.06053
2015-06-30,20.0,16.16144474,154.0,9.133333333,13.9,6.81,25.90675042,44.18,12351.48246,40786.82682,32047.47961,7700.437468,5598.569153,98484.79551
2015-07-06,22.0,14.13072013,180.0,7.366666667,6.7,7.8,24.13549262,29.78,7041.499347,75686.49844,23433.18635,67678.23586,3198.495263,177037.9153
2015-07-13,20.8,14.73166157,211.0,4.133333333,0.0,8.23,27.42609348,19.44,1736.326,81477.45829,11043.22575,43278.28628,2236.541801,139771.8381
2015-07-20,20.7,13.64055853,200.0,8.4,2.9,8.1,27.06147273,24.46,4487.512903,104371.9507,17906.76371,49983.10192,2799.284576,179548.6138
2015-07-27,18.6,27.69077489,209.0,3.5,1.2,7.64,25.77226322,8.36,947.5241607,54417.70738,7493.617474,18532.03346,1019.67067,82410.55314
2015-08-04,19.3,14.61902641,244.0,7.166666667,6.5,7.11,25.83154207,15.31,1510.266936,92549.54264,11538.63178,51474.12979,9893.691363,166966.2625
2015-08-10,20.9,12.83418209,229.0,6.333333333,1.9,6.54,28.15915711,7.85,1043.719507,171054.5647,10042.79415,73127.70223,4449.034765,259717.8154
2015-08-17,18.8,17.43798522,236.0,4.766666667,4.0,6.77,28.59934536,6.51,173.1516233,106733.5464,5747.671939,53143.11904,745.5139335,166543.003
2015-08-24,18.7,18.97118924,281.0,4.666666667,0.0,6.61,27.29328768,4.72,230.868831,85532.09213,6445.0882,54966.02086,793.6116067,147967.6816
2015-09-01,17.0,21.28927212,247.0,1.533333333,4.2,6.27,25.91611904,3.87,211.6297618,64369.11595,5281.12451,25814.02117,293.3958061,95969.2872
2015-09-07,16.4,13.87123832,235.0,8.566666667,10.6,6.52,26.74810604,2.03,173.1516233,89158.65669,4670.284061,36097.30369,591.6013795,130690.9974
2015-09-14,16.4,17.49029047,238.0,0.1,0.0,6.48,32.66675989,2.07,173.1516233,85686.00468,4333.600349,17392.1186,745.5139335,108330.3892
2015-09-21,15.5,18.19809969,218.0,3.233333333,0.7,6.16,29.41790308,1.37,115.4344155,85003.01773,3862.243153,6935.684466,533.8841718,96450.26393
2015-09-28,14.9,16.7322534,214.0,8.4,8.5,6.67,30.72036255,3.56,168.341856,118416.4713,4646.235225,7027.070045,1226.490665,131484.609
2015-10-05,14.6,16.95926959,224.0,3.8,0.0,6.26,34.34074706,3.9,33.66837119,132518.709,2674.230626,3992.10687,1851.760416,141070.4753
2015-10-12,13.2,17.80602514,211.0,3.266666667,7.2,6.16,29.19273311,2.15,125.0539501,66951.961,2039.341341,2039.341341,230.868831,71386.56646
2015-10-19,12.3,15.52956327,239.0,0.0,0.0,6.46,35.51292867,2.72,101.0051136,82482.69965,2818.523646,3246.592936,557.9330083,89206.75436
2015-10-26,12.3,14.61431765,220.0,2.866666667,5.1,6.6,35.5947802,1.95,57.71720776,66745.14101,2140.346454,2736.757601,394.4009197,72074.36319
2015-11-02,12.5,18.77203165,222.0,3.066666667,2.2,6.47,35.58291336,2.38,48.09767313,44163.28347,1399.642288,1745.945535,312.6348754,47669.60384
2015-11-10,13.2,38.07536441,235.0,0.0,0.0,6.79,30.83240844,2.28,101.0051136,16478.26282,933.0948588,812.8506759,177.9613906,18503.17485
2015-11-16,12.3,24.72771647,224.0,0.633333333,1.6,6.64,29.763,1.14,62.52697507,8878.83046,649.3185873,360.7325485,67.33674239,10018.74531
2015-11-23,8.4,24.8264559,219.0,2.033333333,2.1,6.45,30.45767182,1.64,182.7711579,4001.726405,442.4985928,235.6785983,62.52697507,4925.201729
2015-11-30,9.0,42.73252952,235.0,0.2,0.0,6.3,31.62376988,1.2,76.95627701,3001.294803,298.2055734,173.1516233,57.71720776,3607.325485
2015-12-07,10.7,40.92948378,198.0,0.533333333,1.6,5.91,30.96156524,2.15,149.1027867,2871.431086,442.4985928,327.0641773,101.0051136,3891.101756
2015-12-14,9.8,56.35388305,210.0,0.0,0.0,5.97,31.94740705,1.38,105.8148809,2236.541801,331.8739446,197.2004598,110.6246482,2982.055734
2016-01-14,8.2,159.764754,154.0,0.966666667,2.9,4.74,26.68085725,9.53,254.9176676,4732.811036,899.4264876,9354.997424,832.0897452,16074.24236
2016-01-18,4.7,120.010063,111.0,1.3,0.0,5.19,30.92879007,1.32,52.90744045,1183.202759,177.9613906,197.2004598,57.71720776,1668.989258
2016-01-25,7.9,93.12739893,111.0,0.833333333,1.1,5.08,33.32858036,1.33,120.2441828,1558.364609,250.1079003,110.6246482,76.95627701,2116.297618
2016-02-01,9.5,106.3161624,111.0,1.966666667,1.0,5.09,28.44078367,1.79,149.1027867,1972.004598,360.7325485,331.8739446,206.8199945,3020.533873
2016-02-08,8.4,157.8763676,110.0,1.8,1.5,4.72,28.81974978,3.93,245.298133,2996.485036,519.4548698,634.8892853,341.4934792,4737.620804
2016-02-15,6.0,124.676387,83.0,3.566666667,7.0,4.58,28.02465486,2.11,384.7813851,2279.829706,341.4934792,182.7711579,173.1516233,3362.027352
2016-02-22,9.4,99.30222164,93.0,0.833333333,2.1,4.69,30.13404137,2.68,413.6399889,2616.513418,413.6399889,182.7711579,115.4344155,3741.99897
2016-02-29,7.3,62.34959227,95.0,3.566666667,5.6,4.93,31.79419851,2.04,625.2697507,4396.127324,509.8353352,187.5809252,134.6734848,5853.48682
2016-03-07,7.3,70.01172824,90.0,4.233333333,8.4,4.63,31.94531507,3.28,1034.099972,5738.052405,702.2260277,144.2930194,86.57581164,7705.247236
2016-03-14,8.5,122.7533261,94.0,5.9,9.3,4.13,26.14196933,6.65,1822.901812,5511.993341,1640.130654,668.5576565,288.5860388,9932.169502
2016-03-21,9.1,71.15363202,83.0,1.966666667,3.6,4.21,33.06623886,5.25,1769.994371,6007.399374,1038.90974,245.298133,67.33674239,9128.93836
2016-03-29,10.3,164.410633,91.0,6.266666667,5.7,3.58,28.31307365,17.73,2674.230626,8397.853729,1693.038094,884.9971856,577.1720776,14227.29171
2016-04-11,10.8,85.74546793,75.0,4.033333333,0.5,3.51,29.44620614,8.56,2933.958061,4655.854759,3309.119911,163.5320886,202.0102272,11264.47505
2016-04-18,11.4,83.63140226,83.0,5.333333333,2.8,3.75,26.3571156,10.44,2029.721806,4131.590122,3121.538986,269.3469695,226.0590637,9778.256948
2016-04-25,11.0,59.39272239,70.0,5.433333333,3.0,3.09,29.58855518,6.07,1943.145995,3939.19943,3184.065961,360.7325485,341.4934792,9768.637413
2016-05-03,13.4,48.68813225,46.0,5.9,8.0,1.57,30.55490889,16.27,6012.209142,7580.193286,7642.720261,394.4009197,408.8302216,22038.35383
2016-05-09,17.7,41.69283676,24.0,6.633333333,1.9,1.06,28.82605281,59.28,18863.9074,11716.59317,35322.93115,707.035795,1356.354382,67966.8219
2016-05-16,16.5,52.44852312,125.0,11.0,11.6,4.74,26.99817709,8.28,2063.390177,7604.242122,6555.712848,351.1130139,370.3520831,16944.81024
2016-05-23,16.6,56.07681782,114.0,5.566666667,12.4,4.77,27.22808962,15.76,2900.28969,10927.79134,16636.98514,221.2492964,1361.16415,32047.47961
2016-05-31,15.2,39.21982348,93.0,2.333333333,0.0,4.31,29.19324164,30.33,6988.591906,21624.71384,30662.26662,586.7916122,2111.487851,61973.85183
2016-06-06,17.6,32.58646875,125.0,7.0,12.0,5.12,29.62726871,6.45,1308.256709,35399.88743,14588.02426,197.2004598,1250.539501,52743.90836
2016-06-13,18.7,34.28949841,142.0,1.433333333,0.8,5.33,29.48647288,6.27,360.7325485,36621.56832,7171.363064,221.2492964,726.2748643,45101.1881
2016-06-21,17.8,54.05622924,190.0,2.866666667,3.5,5.48,27.23884298,5.68,144.2930194,60540.54117,7166.553297,298.2055734,423.2595236,68572.85258
2016-06-27,17.7,50.39432392,204.0,3.8,4.9,5.94,24.13398381,3.92,187.5809252,22317.32033,4025.775241,827.2799779,197.2004598,27555.15694
2016-07-04,17.6,29.39858211,158.0,7.9,3.4,6.0,27.52312817,3.66,192.3906925,58207.80402,5526.422643,606.0306815,750.3237009,65282.97174
2016-07-11,18.3,24.56044215,135.0,4.366666667,7.1,5.65,29.02424882,3.48,81.76604432,31297.15591,5968.921236,707.035795,1548.745075,39603.62406
2016-07-18,20.4,24.23968106,133.0,8.2,10.1,5.16,28.60530841,3.47,91.38557895,58477.15099,2472.220399,2626.132953,2804.094344,66470.98427
2016-07-25,21.8,18.68181588,144.0,6.966666667,7.1,4.95,30.97491064,4.15,86.57581164,139300.4809,5184.929164,6767.34261,1707.467396,153046.7959
2016-08-01,19.6,19.24670226,152.0,3.9,0.0,5.48,30.33050918,2.49,48.09767313,95166.05606,3001.294803,5661.096128,1048.529274,104925.0739
2016-08-08,19.9,18.23762662,176.0,10.2,10.3,5.48,30.44755137,4.51,153.912554,132566.8067,7027.070045,6608.620288,1462.169263,147818.5788
